begin,open,close,high,low,value,volume,end,year,ticker,company_name
2016-07-12,87.37,87.23,87.93,87.12,171382814.1,1959360,2016-07-12 23:59:59,2016,RTKM,Ростелеком
2016-07-13,87.2,86.69,87.29,86.0,266157141.7,3076620,2016-07-13 23:59:59,2016,RTKM,Ростелеком
2016-07-14,86.1,86.0,86.76,84.8,197739528.8,2308390,2016-07-14 23:59:59,2016,RTKM,Ростелеком
2016-07-15,85.81,86.4,87.64,85.5,373339168.6,4311120,2016-07-15 23:59:59,2016,RTKM,Ростелеком
2016-07-18,86.5,86.85,87.4,85.67,183298196.7,2116870,2016-07-18 23:59:59,2016,RTKM,Ростелеком
2016-07-19,86.5,86.1,87.08,85.59,151397620.1,1749830,2016-07-19 23:59:59,2016,RTKM,Ростелеком
2016-07-20,85.88,87.2,87.2,85.2,142976060.8,1661840,2016-07-20 23:59:59,2016,RTKM,Ростелеком
2016-07-21,87.2,86.5,87.2,86.05,76301324.9,882630,2016-07-21 23:59:59,2016,RTKM,Ростелеком
2016-07-22,86.18,85.87,86.71,85.87,63112167.1,730500,2016-07-22 23:59:59,2016,RTKM,Ростелеком
2016-07-25,86.22,86.1,86.62,85.65,137822244.6,1600760,2016-07-25 23:59:59,2016,RTKM,Ростелеком
2016-07-26,86.49,85.92,86.49,85.75,160086462.0,1861620,2016-07-26 23:59:59,2016,RTKM,Ростелеком
2016-07-27,85.95,86.29,86.31,85.8,117873726.2,1369350,2016-07-27 23:59:59,2016,RTKM,Ростелеком
2016-07-28,86.17,86.03,87.0,85.83,167746203.5,1945710,2016-07-28 23:59:59,2016,RTKM,Ростелеком
2016-07-29,86.27,85.5,87.0,85.16,225095876.2,2610370,2016-07-29 23:59:59,2016,RTKM,Ростелеком
2016-08-01,85.56,86.0,86.4,85.55,83166643.6,966980,2016-08-01 23:59:59,2016,RTKM,Ростелеком
2016-08-02,85.95,85.6,86.05,84.51,189499557.89999998,2227590,2016-08-02 20:29:55,2016,RTKM,Ростелеком
2016-08-03,85.03,84.75,85.54,84.51,167229958.8,1972130,2016-08-03 23:59:59,2016,RTKM,Ростелеком
2016-08-04,85.0,86.2,86.25,85.0,192435109.0,2243180,2016-08-04 20:30:00,2016,RTKM,Ростелеком
2016-08-05,86.34,86.1,86.92,84.85,163958906.9,1906700,2016-08-05 23:59:59,2016,RTKM,Ростелеком
2016-08-08,86.3,87.0,87.0,85.61,125657792.8,1453410,2016-08-08 23:59:59,2016,RTKM,Ростелеком
2016-08-09,87.0,87.5,88.0,86.72,210781721.8,2408920,2016-08-09 23:59:59,2016,RTKM,Ростелеком
